@relation credit-g_simple

@attribute duration numeric
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute age numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute class {good,bad}

@data

6,radio/tv,1169,'male single',67,skilled,good
48,radio/tv,5951,'female div/dep/mar',22,skilled,bad
12,education,2096,'male single',49,'unskilled resident',good
42,furniture/equipment,7882,'male single',45,skilled,good
24,'new car',4870,'male single',53,skilled,bad
36,education,9055,'male single',35,'unskilled resident',good
24,furniture/equipment,2835,'male single',53,skilled,good
36,'used car',6948,'male single',35,'high qualif/self emp/mgmt',good
12,radio/tv,3059,'male div/sep',61,'unskilled resident',good
30,'new car',5234,'male mar/wid',28,'high qualif/self emp/mgmt',bad
12,'new car',1295,'female div/dep/mar',25,skilled,bad
48,business,4308,'female div/dep/mar',24,skilled,bad
12,radio/tv,1567,'female div/dep/mar',22,skilled,good
24,'new car',1199,'male single',60,'unskilled resident',bad
15,'new car',1403,'female div/dep/mar',28,skilled,good
24,radio/tv,1282,'female div/dep/mar',32,'unskilled resident',bad
24,radio/tv,2424,'male single',53,skilled,good
30,business,8072,'male single',25,skilled,good
24,'used car',12579,'female div/dep/mar',44,'high qualif/self emp/mgmt',bad
24,radio/tv,3430,'male single',31,skilled,good
9,'new car',2134,'male single',48,skilled,good
6,radio/tv,2647,'male single',44,skilled,good
10,'new car',2241,'male single',48,'unskilled resident',good
12,'used car',1804,'male single',44,skilled,good
10,furniture/equipment,2069,'male mar/wid',26,skilled,good
6,furniture/equipment,1374,'male single',36,'unskilled resident',good
6,radio/tv,426,'male mar/wid',39,'unskilled resident',good
12,radio/tv,409,'female div/dep/mar',42,skilled,good
7,radio/tv,2415,'male single',34,skilled,good
60,business,6836,'male single',63,skilled,bad
18,business,1913,'male mar/wid',36,skilled,good
24,furniture/equipment,4020,'male single',27,skilled,good
18,'new car',5866,'male single',30,skilled,good
12,business,1264,'male single',57,'unskilled resident',good
12,furniture/equipment,1474,'female div/dep/mar',33,'high qualif/self emp/mgmt',good
45,radio/tv,4746,'male single',25,'unskilled resident',bad
48,education,6110,'male single',31,skilled,good
18,radio/tv,2100,'male single',37,skilled,bad
10,'domestic appliance',1225,'male single',37,skilled,good
9,radio/tv,458,'male single',24,skilled,good
30,radio/tv,2333,'male single',30,'high qualif/self emp/mgmt',good
12,radio/tv,1158,'male div/sep',26,skilled,good
18,repairs,6204,'male single',44,'unskilled resident',good
30,'used car',6187,'male mar/wid',24,skilled,good
48,'used car',6143,'female div/dep/mar',58,'unskilled resident',bad
11,'new car',1393,'female div/dep/mar',35,'high qualif/self emp/mgmt',good
36,radio/tv,2299,'male single',39,skilled,good
6,'used car',1352,'female div/dep/mar',23,'unemp/unskilled non res',good
11,'new car',7228,'male single',39,'unskilled resident',good
12,radio/tv,2073,'female div/dep/mar',28,skilled,good
24,furniture/equipment,2333,'male single',29,'unskilled resident',good
27,'used car',5965,'male single',30,'high qualif/self emp/mgmt',good
12,radio/tv,1262,'male single',25,skilled,good
18,'used car',3378,'male single',31,skilled,good
36,'new car',2225,'male single',57,skilled,bad
6,'new car',783,'male single',26,'unskilled resident',good
12,radio/tv,6468,'male single',52,'high qualif/self emp/mgmt',bad
36,radio/tv,9566,'female div/dep/mar',31,skilled,good
18,'new car',1961,'female div/dep/mar',23,'high qualif/self emp/mgmt',good
36,furniture/equipment,6229,'female div/dep/mar',23,'unskilled resident',bad
9,business,1391,'male mar/wid',27,skilled,good
15,radio/tv,1537,'male single',50,skilled,good
36,business,1953,'male single',61,'high qualif/self emp/mgmt',bad
48,business,14421,'male single',25,skilled,bad
24,radio/tv,3181,'female div/dep/mar',26,skilled,good
27,repairs,5190,'male single',48,skilled,good
12,radio/tv,2171,'female div/dep/mar',29,skilled,good
12,'new car',1007,'male mar/wid',22,skilled,good
36,education,1819,'male single',37,skilled,bad
36,radio/tv,2394,'female div/dep/mar',25,skilled,good
36,'used car',8133,'female div/dep/mar',30,skilled,good
7,radio/tv,730,'male single',46,'unskilled resident',good
8,other,1164,'male single',51,'high qualif/self emp/mgmt',good
42,business,5954,'female div/dep/mar',41,'unskilled resident',good
36,education,1977,'male single',40,'high qualif/self emp/mgmt',bad
12,'used car',1526,'male single',66,'high qualif/self emp/mgmt',good
42,radio/tv,3965,'male single',34,skilled,bad
11,radio/tv,4771,'male single',51,skilled,good
54,'used car',9436,'male single',39,'unskilled resident',good
30,furniture/equipment,3832,'male mar/wid',22,skilled,good
24,radio/tv,5943,'female div/dep/mar',44,skilled,bad
15,radio/tv,1213,'male single',47,skilled,good
18,business,1568,'female div/dep/mar',24,'unskilled resident',good
24,other,1755,'female div/dep/mar',58,'unskilled resident',good
10,radio/tv,2315,'male single',52,'unskilled resident',good
12,business,1412,'female div/dep/mar',29,'high qualif/self emp/mgmt',good
18,furniture/equipment,1295,'female div/dep/mar',27,skilled,good
36,education,12612,'male single',47,skilled,bad
18,'new car',2249,'male single',30,'high qualif/self emp/mgmt',good
12,repairs,1108,'male single',28,skilled,bad
12,radio/tv,618,'male single',56,skilled,good
12,'used car',1409,'male single',54,skilled,good
12,radio/tv,797,'female div/dep/mar',33,'unskilled resident',bad
24,furniture/equipment,3617,'male single',20,skilled,good
12,'new car',1318,'male single',54,skilled,good
54,business,15945,'male single',58,skilled,bad
12,education,2012,'female div/dep/mar',61,skilled,good
18,business,2622,'male single',34,skilled,good
36,radio/tv,2337,'male single',36,skilled,good
20,'used car',7057,'male single',36,'high qualif/self emp/mgmt',good
24,'new car',1469,'male mar/wid',41,'unskilled resident',good
36,radio/tv,2323,'male single',24,skilled,good
6,radio/tv,932,'female div/dep/mar',24,skilled,good
9,furniture/equipment,1919,'male single',35,skilled,good
12,'used car',2445,'male mar/wid',26,skilled,good
24,other,11938,'male single',39,'high qualif/self emp/mgmt',bad
18,'new car',6458,'male single',39,'high qualif/self emp/mgmt',bad
12,'new car',6078,'male single',32,skilled,good
24,furniture/equipment,7721,'female div/dep/mar',30,skilled,good
14,business,1410,'male mar/wid',35,skilled,good
6,business,1449,'male div/sep',31,skilled,good
15,education,392,'female div/dep/mar',23,skilled,good
18,'new car',6260,'male single',28,'unskilled resident',good
36,'new car',7855,'female div/dep/mar',25,skilled,bad
12,radio/tv,1680,'male mar/wid',35,skilled,good
48,radio/tv,3578,'male single',47,skilled,good
42,radio/tv,7174,'female div/dep/mar',30,'high qualif/self emp/mgmt',bad
10,furniture/equipment,2132,'female div/dep/mar',27,skilled,good
33,furniture/equipment,4281,'female div/dep/mar',23,skilled,bad
12,'new car',2366,'male div/sep',36,'high qualif/self emp/mgmt',good
21,radio/tv,1835,'female div/dep/mar',25,skilled,bad
24,'used car',3868,'female div/dep/mar',41,'high qualif/self emp/mgmt',good
12,furniture/equipment,1768,'male single',24,'unskilled resident',good
10,'new car',781,'male single',63,skilled,good
18,furniture/equipment,1924,'female div/dep/mar',27,skilled,bad
12,'new car',2121,'male single',30,skilled,good
12,radio/tv,701,'male mar/wid',40,'unskilled resident',good
12,repairs,639,'male single',30,skilled,bad
12,'used car',1860,'male single',34,'high qualif/self emp/mgmt',good
12,'new car',3499,'female div/dep/mar',29,skilled,bad
48,'new car',8487,'female div/dep/mar',24,skilled,good
36,education,6887,'male single',29,skilled,bad
15,furniture/equipment,2708,'male single',27,'unskilled resident',good
18,furniture/equipment,1984,'male single',47,skilled,good
60,radio/tv,10144,'female div/dep/mar',21,skilled,good
12,radio/tv,1240,'female div/dep/mar',38,skilled,good
27,'used car',8613,'male single',27,skilled,good
12,radio/tv,766,'male single',66,'unskilled resident',bad
15,radio/tv,2728,'male single',35,skilled,good
12,radio/tv,1881,'female div/dep/mar',44,'unskilled resident',good
6,'new car',709,'male mar/wid',27,'unemp/unskilled non res',good
36,radio/tv,4795,'female div/dep/mar',30,'high qualif/self emp/mgmt',good
27,radio/tv,3416,'male single',27,'high qualif/self emp/mgmt',good
