@relation InstanceResultListener

@attribute Key_Dataset {credit-g_simple}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.rules.OneR,weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-B 6','-C 0.25 -M 2',''}
@attribute Key_Scheme_version_ID {-3459427003147861443,-217733168393644444,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 33\nSize of the tree: 49\n','Number of leaves: 85\nSize of the tree: 127\n','Number of leaves: 31\nSize of the tree: 44\n','Number of leaves: 54\nSize of the tree: 82\n','Number of leaves: 61\nSize of the tree: 90\n','Number of leaves: 63\nSize of the tree: 95\n','Number of leaves: 32\nSize of the tree: 49\n','Number of leaves: 86\nSize of the tree: 131\n','Number of leaves: 41\nSize of the tree: 67\n','Number of leaves: 47\nSize of the tree: 68\n','Number of leaves: 40\nSize of the tree: 62\n','Number of leaves: 38\nSize of the tree: 58\n','Number of leaves: 63\nSize of the tree: 94\n','Number of leaves: 39\nSize of the tree: 57\n','Number of leaves: 34\nSize of the tree: 53\n','Number of leaves: 44\nSize of the tree: 62\n','Number of leaves: 48\nSize of the tree: 73\n','Number of leaves: 62\nSize of the tree: 92\n','Number of leaves: 61\nSize of the tree: 94\n','Number of leaves: 46\nSize of the tree: 67\n','Number of leaves: 47\nSize of the tree: 67\n','Number of leaves: 83\nSize of the tree: 125\n','Number of leaves: 40\nSize of the tree: 59\n','Number of leaves: 46\nSize of the tree: 71\n','Number of leaves: 29\nSize of the tree: 43\n','Number of leaves: 66\nSize of the tree: 93\n','Number of leaves: 31\nSize of the tree: 46\n','Number of leaves: 67\nSize of the tree: 100\n','Number of leaves: 64\nSize of the tree: 98\n','Number of leaves: 52\nSize of the tree: 79\n','Number of leaves: 58\nSize of the tree: 88\n','Number of leaves: 22\nSize of the tree: 29\n','Number of leaves: 64\nSize of the tree: 99\n','Number of leaves: 74\nSize of the tree: 109\n','Number of leaves: 88\nSize of the tree: 129\n','Number of leaves: 45\nSize of the tree: 65\n','Number of leaves: 74\nSize of the tree: 114\n','Number of leaves: 57\nSize of the tree: 88\n','Number of leaves: 45\nSize of the tree: 67\n','Number of leaves: 59\nSize of the tree: 89\n','Number of leaves: 49\nSize of the tree: 75\n','Number of leaves: 44\nSize of the tree: 66\n','Number of leaves: 71\nSize of the tree: 108\n','Number of leaves: 42\nSize of the tree: 63\n','Number of leaves: 45\nSize of the tree: 68\n','Number of leaves: 95\nSize of the tree: 146\n','Number of leaves: 10\nSize of the tree: 16\n','Number of leaves: 62\nSize of the tree: 96\n','Number of leaves: 49\nSize of the tree: 70\n','Number of leaves: 53\nSize of the tree: 81\n','Number of leaves: 55\nSize of the tree: 83\n','Number of leaves: 92\nSize of the tree: 136\n','Number of leaves: 32\nSize of the tree: 46\n','Number of leaves: 22\nSize of the tree: 32\n','Number of leaves: 50\nSize of the tree: 72\n','Number of leaves: 51\nSize of the tree: 77\n','Number of leaves: 49\nSize of the tree: 73\n','Number of leaves: 66\nSize of the tree: 101\n','Number of leaves: 48\nSize of the tree: 75\n','Number of leaves: 82\nSize of the tree: 127\n','Number of leaves: 10\nSize of the tree: 14\n','Number of leaves: 86\nSize of the tree: 130\n','Number of leaves: 42\nSize of the tree: 66\n','Number of leaves: 75\nSize of the tree: 112\n','Number of leaves: 89\nSize of the tree: 134\n','Number of leaves: 83\nSize of the tree: 123\n','Number of leaves: 53\nSize of the tree: 80\n','Number of leaves: 52\nSize of the tree: 76\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 73\nSize of the tree: 105\n','Number of leaves: 37\nSize of the tree: 56\n','Number of leaves: 75\nSize of the tree: 113\n','Number of leaves: 9\nSize of the tree: 14\n','Number of leaves: 66\nSize of the tree: 96\n','Number of leaves: 26\nSize of the tree: 39\n','Number of leaves: 19\nSize of the tree: 26\n','Number of leaves: 36\nSize of the tree: 49\n','Number of leaves: 30\nSize of the tree: 45\n','Number of leaves: 71\nSize of the tree: 107\n','Number of leaves: 88\nSize of the tree: 124\n','Number of leaves: 35\nSize of the tree: 52\n','Number of leaves: 55\nSize of the tree: 84\n','Number of leaves: 33\nSize of the tree: 48\n','Number of leaves: 63\nSize of the tree: 98\n','Number of leaves: 76\nSize of the tree: 118\n','Number of leaves: 65\nSize of the tree: 99\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

credit-g_simple,1,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,68,32,0,68,32,0,0.139785,0.32,0.565685,76.158311,123.442622,88.129157,34368,-34279.870843,0.881292,343.68,-342.798708,16.118853,0.161189,18.290034,0.857143,60,0.733333,22,0.266667,8,0.142857,10,0.731707,0.857143,0.789474,0.14768,0.561905,0.727178,0.68,0.55619,0.44381,0.32,0.645528,0.68,0.652632,0.14768,0.561905,0.61058,0.561404,0.68,0,0,0,0,0,0,1408,78616,10616,68,50,?,?,?,?
credit-g_simple,1,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,65,35,0,65,35,0,0.005682,0.35,0.591608,83.298153,129.099384,88.129157,37590,-37501.870843,0.881292,375.9,-375.018708,9.367887,0.093679,10.629725,0.871429,61,0.866667,26,0.133333,4,0.128571,9,0.701149,0.871429,0.77707,0.006489,0.502381,0.701002,0.65,0.645238,0.354762,0.35,0.583112,0.65,0.599763,0.006489,0.502381,0.581009,0.481558,0.65,0,0,0,0,0,0,1480,78616,10616,65,50,?,?,?,?
credit-g_simple,1,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,63,37,0,63,37,0,0.015957,0.37,0.608276,88.058047,132.736698,88.129157,39738,-39649.870843,0.881292,397.38,-396.498708,4.867243,0.048672,5.522852,0.814286,57,0.8,24,0.2,6,0.185714,13,0.703704,0.814286,0.754967,0.016688,0.507143,0.703016,0.63,0.615714,0.384286,0.37,0.587329,0.63,0.601946,0.016688,0.507143,0.583058,0.499932,0.63,0,0,0,0,0,0,1456,78616,10616,63,50,?,?,?,?
credit-g_simple,1,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,71,29,0,71,29,0,0.176136,0.29,0.538516,69.01847,117.513875,88.129157,31146,-31057.870843,0.881292,311.46,-310.578708,22.869819,0.228698,25.950344,0.914286,64,0.766667,23,0.233333,7,0.085714,6,0.735632,0.914286,0.815287,0.20115,0.57381,0.732578,0.71,0.562381,0.437619,0.29,0.676481,0.71,0.668375,0.20115,0.57381,0.619497,0.570434,0.71,0,0,0,0,0,0,1480,78616,10616,71,50,?,?,?,?
credit-g_simple,1,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,70,30,0,70,30,0,0.137931,0.3,0.547723,71.398417,119.522805,88.129157,32220,-32131.870843,0.881292,322.2,-321.318708,20.619497,0.206195,23.396907,0.914286,64,0.8,24,0.2,6,0.085714,6,0.727273,0.914286,0.810127,0.161165,0.557143,0.724935,0.7,0.585714,0.414286,0.3,0.659091,0.7,0.652803,0.161165,0.557143,0.609455,0.54792,0.7,0,0,0,0,0,0,1504,78616,10616,70,50,?,?,?,?
credit-g_simple,1,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,65,35,0,65,35,0,-0.017442,0.35,0.591608,83.298153,129.099384,88.129157,37590,-37501.870843,0.881292,375.9,-375.018708,9.367887,0.093679,10.629725,0.885714,62,0.9,27,0.1,3,0.114286,8,0.696629,0.885714,0.779874,-0.020923,0.492857,0.697014,0.65,0.664286,0.335714,0.35,0.569459,0.65,0.589814,-0.020923,0.492857,0.577092,0.463108,0.65,0,0,0,0,0,0,1420,78616,10616,65,50,?,?,?,?
credit-g_simple,1,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,66,34,0,66,34,0,0.065934,0.34,0.583095,80.918206,127.241742,88.129157,36516,-36427.870843,0.881292,365.16,-364.278708,11.618209,0.116182,13.183161,0.857143,60,0.8,24,0.2,6,0.142857,10,0.714286,0.857143,0.779221,0.071429,0.528571,0.712245,0.66,0.602857,0.397143,0.34,0.6125,0.66,0.623715,0.071429,0.528571,0.593071,0.520045,0.66,0.016,0,0.015625,0,15.625,0,1516,78616,10616,66,50,?,?,?,?
credit-g_simple,1,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,61,39,0,61,39,0,-0.083333,0.39,0.6245,92.817942,136.276965,88.129157,41886,-41797.870843,0.881292,418.86,-417.978708,0.366599,0.003666,0.415979,0.828571,58,0.9,27,0.1,3,0.171429,12,0.682353,0.828571,0.748387,-0.09167,0.464286,0.685378,0.61,0.681429,0.318571,0.39,0.537647,0.61,0.563871,-0.09167,0.464286,0.566765,0.44086,0.61,0,0,0,0,0,0,1528,78616,10616,61,50,?,?,?,?
credit-g_simple,1,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,60,40,0,60,40,0,-0.052632,0.4,0.632456,95.197889,138.013047,88.129157,42960,-42871.870843,0.881292,429.6,-428.718708,-1.883723,-0.018837,-2.137457,0.785714,55,0.833333,25,0.166667,5,0.214286,15,0.6875,0.785714,0.733333,-0.054554,0.47619,0.690179,0.6,0.647619,0.352381,0.4,0.55625,0.6,0.573333,-0.054554,0.47619,0.570625,0.466667,0.6,0,0,0,0,0,0,1444,78616,10616,60,50,?,?,?,?
credit-g_simple,1,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,72,28,0,72,28,0,0.176471,0.28,0.52915,66.638522,115.47,88.129157,30072,-29983.870843,0.881292,300.72,-299.838708,25.120141,0.251201,28.50378,0.942857,66,0.8,24,0.2,6,0.057143,4,0.733333,0.942857,0.825,0.218218,0.571429,0.731429,0.72,0.577143,0.422857,0.28,0.693333,0.72,0.6675,0.218218,0.571429,0.62,0.5625,0.72,0,0,0,0,0,0,1432,78616,10616,72,50,?,?,?,?
credit-g_simple,2,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231229.2342,900,100,69,31,0,69,31,0,0.03125,0.31,0.556776,73.778364,121.498522,88.129157,33294,-33205.870843,0.881292,332.94,-332.058708,18.369175,0.183692,20.843471,0.957143,67,0.933333,28,0.066667,2,0.042857,3,0.705263,0.957143,0.812121,0.050063,0.511905,0.705038,0.69,0.66619,0.33381,0.31,0.613684,0.69,0.602771,0.050063,0.511905,0.585526,0.463203,0.69,0,0,0,0,0,0,1360,78616,10616,69,50,?,?,?,?
