@relation InstanceResultListener

@attribute Key_Dataset {contact-lenses,credit-g_simple,vehicle,iris}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}
@attribute Key_Scheme {weka.classifiers.rules.OneR,weka.classifiers.trees.RandomForest,weka.classifiers.trees.J48,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-B 6','-P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1','-C 0.25 -M 2',''}
@attribute Key_Scheme_version_ID {-3459427003147861443,1116839470751428698,-217733168393644444,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 3\nSize of the tree: 5\n','Number of leaves: 4\nSize of the tree: 7\n','Number of leaves: 41\nSize of the tree: 60\n','Number of leaves: 57\nSize of the tree: 83\n','Number of leaves: 35\nSize of the tree: 52\n','Number of leaves: 54\nSize of the tree: 81\n','Number of leaves: 34\nSize of the tree: 48\n','Number of leaves: 44\nSize of the tree: 64\n','Number of leaves: 76\nSize of the tree: 113\n','Number of leaves: 69\nSize of the tree: 111\n','Number of leaves: 62\nSize of the tree: 92\n','Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 53\nSize of the tree: 81\n','Number of leaves: 41\nSize of the tree: 59\n','Number of leaves: 62\nSize of the tree: 89\n','Number of leaves: 61\nSize of the tree: 92\n','Number of leaves: 47\nSize of the tree: 70\n','Number of leaves: 30\nSize of the tree: 42\n','Number of leaves: 54\nSize of the tree: 82\n','Number of leaves: 47\nSize of the tree: 71\n','Number of leaves: 33\nSize of the tree: 48\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 72\nSize of the tree: 143\n','Number of leaves: 46\nSize of the tree: 91\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 41\nSize of the tree: 81\n','Number of leaves: 68\nSize of the tree: 135\n','Number of leaves: 45\nSize of the tree: 89\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 5\nSize of the tree: 9\n'}
@attribute measureOutOfBagError numeric
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data

contact-lenses,1,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,5,2,0,71.428571,28.571429,0,0.461538,0.190476,0.436436,52.631579,107.911226,8.63441,2148,-2139.36559,1.233487,306.857143,-305.623656,3.976055,0.568008,46.048943,1,1,0.333333,2,0.666667,4,0,0,0.333333,1,0.5,0.471405,0.833333,0.333333,0.714286,0.047619,0.952381,0.285714,?,0.714286,?,?,0.833333,0.741497,?,0.714286,0,0,0,0,0,0,1339,2900,2210,71.428571,33.333333,?,?,?,?,?
contact-lenses,2,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,5,2,0,71.428571,28.571429,0,0.517241,0.190476,0.436436,50,99.014754,9.913647,2148,-2138.086353,1.416235,306.857143,-305.440908,5.210897,0.744414,52.562866,1,2,0.4,2,0.6,3,0,0,0.5,1,0.666667,0.547723,0.8,0.5,0.714286,0.114286,0.885714,0.285714,?,0.714286,?,?,0.8,0.673469,?,0.714286,0,0,0,0,0,0,1339,2900,2210,71.428571,33.333333,?,?,?,?,?
contact-lenses,3,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,4,3,0,57.142857,42.857143,0,0,0.285714,0.534522,75,121.267813,9.913647,3222,-3212.086353,1.416235,460.285714,-458.869479,1.982078,0.283154,19.993431,0,0,0,0,1,5,1,2,?,0,?,?,0.5,0.285714,0.571429,0.571429,0.428571,0.428571,?,0.571429,?,?,0.5,0.428571,?,0.571429,0,0,0,0,0,0,1366,2900,2210,57.142857,33.333333,?,?,?,?,?
contact-lenses,4,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,4,3,0,57.142857,42.857143,0,0,0.285714,0.534522,75,121.267813,9.913647,3222,-3212.086353,1.416235,460.285714,-458.869479,1.982078,0.283154,19.993431,0,0,0,0,1,5,1,2,?,0,?,?,0.5,0.285714,0.571429,0.571429,0.428571,0.428571,?,0.571429,?,?,0.5,0.428571,?,0.571429,0,0,0,0,0,0,1366,2900,2210,57.142857,33.333333,?,?,?,?,?
contact-lenses,5,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,18,6,4,2,0,66.666667,33.333333,0,0.428571,0.222222,0.471405,60.869565,113.804841,7.692126,2148,-2140.307874,1.282021,358,-356.717979,2.965207,0.494201,38.548601,1,1,0.4,2,0.6,3,0,0,0.333333,1,0.5,0.447214,0.8,0.333333,0.666667,0.066667,0.933333,0.333333,?,0.666667,?,?,0.8,0.694444,?,0.666667,0,0,0,0,0,0,1339,2969,2141,66.666667,33.333333,?,?,?,?,?
contact-lenses,6,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,16,8,5,3,0,62.5,37.5,0,0.384615,0.25,0.5,67.058824,117.607048,10.686262,3222,-3211.313738,1.335783,402.75,-401.414217,4.024451,0.503056,37.660042,1,2,0.5,3,0.5,3,0,0,0.4,1,0.571429,0.447214,0.75,0.4,0.625,0.125,0.875,0.375,?,0.625,?,?,0.75,0.646875,?,0.625,0,0,0,0,0,0,1339,2831,2279,62.5,33.333333,?,?,?,?,?
contact-lenses,7,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,16,8,3,5,0,37.5,62.5,0,-0.333333,0.416667,0.645497,111.764706,151.830045,10.686262,5370,-5359.313738,1.335783,671.25,-669.914217,-1.153478,-0.144185,-10.794028,0,0,0.333333,2,0.666667,4,1,2,0,0,0,-0.333333,0.333333,0.25,0.375,0.708333,0.291667,0.625,?,0.375,?,?,0.333333,0.421875,?,0.375,0,0,0,0,0,0,1366,2831,2279,37.5,33.333333,?,?,?,?,?
contact-lenses,8,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,16,8,6,2,0,75,25,0,0.555556,0.166667,0.408248,44.705882,96.025752,10.686262,2148,-2137.313738,1.335783,268.5,-267.164217,6.060874,0.757609,56.716504,1,2,0.333333,2,0.666667,4,0,0,0.5,1,0.666667,0.57735,0.833333,0.5,0.75,0.083333,0.916667,0.25,?,0.75,?,?,0.833333,0.71875,?,0.75,0,0,0,0,0,0,1339,2831,2279,75,33.333333,?,?,?,?,?
contact-lenses,9,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,5,2,0,71.428571,28.571429,0,0.461538,0.190476,0.436436,52.631579,107.911226,8.63441,2148,-2139.36559,1.233487,306.857143,-305.623656,3.976055,0.568008,46.048943,1,1,0.333333,2,0.666667,4,0,0,0.333333,1,0.5,0.471405,0.833333,0.333333,0.714286,0.047619,0.952381,0.285714,?,0.714286,?,?,0.833333,0.741497,?,0.714286,0,0,0,0,0,0,1339,2900,2210,71.428571,33.333333,?,?,?,?,?
contact-lenses,10,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,18,6,5,1,0,83.333333,16.666667,0,0.666667,0.111111,0.333333,30.434783,80.472175,7.692126,1074,-1066.307874,1.282021,179,-177.717979,4.994954,0.832492,64.935938,1,1,0.2,1,0.8,4,0,0,0.5,1,0.666667,0.632456,0.9,0.5,0.833333,0.033333,0.966667,0.166667,?,0.833333,?,?,0.9,0.777778,?,0.833333,0,0,0,0,0,0,1339,2969,2141,83.333333,33.333333,?,?,?,?,?
contact-lenses,11,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,5,2,0,71.428571,28.571429,0,0.517241,0.190476,0.436436,50,99.014754,9.913647,2148,-2138.086353,1.416235,306.857143,-305.440908,5.210897,0.744414,52.562866,1,2,0.4,2,0.6,3,0,0,0.5,1,0.666667,0.547723,0.8,0.5,0.714286,0.114286,0.885714,0.285714,?,0.714286,?,?,0.8,0.673469,?,0.714286,0,0,0,0,0,0,1339,2900,2210,71.428571,33.333333,?,?,?,?,?
contact-lenses,12,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,4,3,0,57.142857,42.857143,0,0,0.285714,0.534522,75,121.267813,9.913647,3222,-3212.086353,1.416235,460.285714,-458.869479,1.982078,0.283154,19.993431,0,0,0,0,1,5,1,2,?,0,?,?,0.5,0.285714,0.571429,0.571429,0.428571,0.428571,?,0.571429,?,?,0.5,0.428571,?,0.571429,0,0,0,0,0,0,1366,2900,2210,57.142857,33.333333,?,?,?,?,?
contact-lenses,13,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,2,5,0,28.571429,71.428571,0,-0.060606,0.47619,0.690066,125,156.556073,9.913647,5370,-5360.086353,1.416235,767.142857,-765.726622,-2.135709,-0.305101,-21.543125,0,0,0,0,1,5,1,2,?,0,?,?,0.5,0.285714,0.285714,0.285714,0.714286,0.714286,?,0.285714,?,?,0.5,0.455782,?,0.285714,0,0,0,0,0,0,1366,2900,2210,28.571429,33.333333,?,?,?,?,?
contact-lenses,14,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,4,3,0,57.142857,42.857143,0,0.3,0.285714,0.534522,78.947368,132.16372,8.63441,3222,-3213.36559,1.233487,460.285714,-459.052227,1.961555,0.280222,22.717882,1,1,0.5,3,0.5,3,0,0,0.25,1,0.4,0.353553,0.75,0.25,0.571429,0.071429,0.928571,0.428571,?,0.571429,?,?,0.75,0.688776,?,0.571429,0,0,0,0,0,0,1339,2900,2210,57.142857,33.333333,?,?,?,?,?
contact-lenses,15,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,18,6,4,2,0,66.666667,33.333333,0,0.428571,0.222222,0.471405,60.869565,113.804841,7.692126,2148,-2140.307874,1.282021,358,-356.717979,2.965207,0.494201,38.548601,1,1,0.4,2,0.6,3,0,0,0.333333,1,0.5,0.447214,0.8,0.333333,0.666667,0.066667,0.933333,0.333333,?,0.666667,?,?,0.8,0.694444,?,0.666667,0,0,0,0,0,0,1339,2969,2141,66.666667,33.333333,?,?,?,?,?
contact-lenses,16,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,17,7,4,3,0,57.142857,42.857143,0,0.322581,0.285714,0.534522,75,121.267813,9.913647,3222,-3212.086353,1.416235,460.285714,-458.869479,3.152003,0.450286,31.794588,1,2,0.6,3,0.4,2,0,0,0.4,1,0.571429,0.4,0.7,0.4,0.571429,0.171429,0.828571,0.428571,?,0.571429,?,?,0.7,0.583673,?,0.571429,0,0,0,0,0,0,1339,2900,2210,57.142857,33.333333,?,?,?,?,?
contact-lenses,17,weka.classifiers.rules.OneR,'-B 6',-3459427003147861443,20231230.1524,18,6,4,2,0,66.666667,33.333333,0,0.428571,0.222222,0.471405,60.869565,113.804841,7.692126,2148,-2140.307874,1.282021,358,-356.717979,2.965207,0.494201,38.548601,1,1,0.4,2,0.6,3,0,0,0.333333,1,0.5,0.447214,0.8,0.333333,0.666667,0.066667,0.933333,0.333333,?,0.666667,?,?,0.8,0.694444,?,0.666667,0,0,0,0,0,0,1339,2969,2141,66.666667,33.333333,?,?,?,?,?
